Country,Year,Sex,NCD_Mortality,IndicatorName,CountryCode,Risk_Level,Continent
Czechia,2021,Both sexes,419.0,Age-standardized NCD mortality rate  (per 100 000 population),CZE,Moderate,
United States of America,2021,Both sexes,423.6,Age-standardized NCD mortality rate  (per 100 000 population),USA,Moderate,
United Arab Emirates,2021,Both sexes,432.0,Age-standardized NCD mortality rate  (per 100 000 population),ARE,Moderate,
Dominican Republic,2021,Both sexes,429.4,Age-standardized NCD mortality rate  (per 100 000 population),DOM,Moderate,
Tunisia,2021,Both sexes,432.4,Age-standardized NCD mortality rate  (per 100 000 population),TUN,Moderate,
El Salvador,2021,Both sexes,435.3,Age-standardized NCD mortality rate  (per 100 000 population),SLV,Moderate,
Ecuador,2021,Both sexes,437.7,Age-standardized NCD mortality rate  (per 100 000 population),ECU,Moderate,
Guatemala,2021,Both sexes,438.2,Age-standardized NCD mortality rate  (per 100 000 population),GTM,Moderate,
Bhutan,2021,Both sexes,454.5,Age-standardized NCD mortality rate  (per 100 000 population),BTN,Moderate,
Suriname,2021,Both sexes,452.9,Age-standardized NCD mortality rate  (per 100 000 population),SUR,Moderate,
Azerbaijan,2021,Both sexes,452.7,Age-standardized NCD mortality rate  (per 100 000 population),AZE,Moderate,
Brazil,2021,Both sexes,447.9,Age-standardized NCD mortality rate  (per 100 000 population),BRA,Moderate,South America
Uruguay,2021,Both sexes,446.4,Age-standardized NCD mortality rate  (per 100 000 population),URY,Moderate,
Estonia,2021,Both sexes,454.9,Age-standardized NCD mortality rate  (per 100 000 population),EST,Moderate,
Brunei Darussalam,2021,Both sexes,460.6,Age-standardized NCD mortality rate  (per 100 000 population),BRN,Moderate,
Saudi Arabia,2021,Both sexes,462.1,Age-standardized NCD mortality rate  (per 100 000 population),SAU,Moderate,
Paraguay,2021,Both sexes,455.8,Age-standardized NCD mortality rate  (per 100 000 population),PRY,Moderate,
Croatia,2021,Both sexes,461.0,Age-standardized NCD mortality rate  (per 100 000 population),HRV,Moderate,
Mexico,2021,Both sexes,455.4,Age-standardized NCD mortality rate  (per 100 000 population),MEX,Moderate,
Poland,2021,Both sexes,460.2,Age-standardized NCD mortality rate  (per 100 000 population),POL,Moderate,
Türkiye,2021,Both sexes,470.6,Age-standardized NCD mortality rate  (per 100 000 population),TUR,Moderate,
Slovakia,2021,Both sexes,473.6,Age-standardized NCD mortality rate  (per 100 000 population),SVK,Moderate,
Grenada,2021,Both sexes,465.1,Age-standardized NCD mortality rate  (per 100 000 population),GRD,Moderate,
Montenegro,2021,Both sexes,471.2,Age-standardized NCD mortality rate  (per 100 000 population),MNE,Moderate,
Cuba,2021,Both sexes,469.2,Age-standardized NCD mortality rate  (per 100 000 population),CUB,Moderate,
Saint Lucia,2021,Both sexes,466.6,Age-standardized NCD mortality rate  (per 100 000 population),LCA,Moderate,
Bangladesh,2021,Both sexes,478.9,Age-standardized NCD mortality rate  (per 100 000 population),BGD,Moderate,
Ethiopia,2021,Both sexes,483.6,Age-standardized NCD mortality rate  (per 100 000 population),ETH,Moderate,
Qatar,2021,Both sexes,479.9,Age-standardized NCD mortality rate  (per 100 000 population),QAT,Moderate,
Seychelles,2021,Both sexes,493.8,Age-standardized NCD mortality rate  (per 100 000 population),SYC,Moderate,
Botswana,2021,Both sexes,489.1,Age-standardized NCD mortality rate  (per 100 000 population),BWA,Moderate,
China,2021,Both sexes,491.4,Age-standardized NCD mortality rate  (per 100 000 population),CHN,Moderate,Asia
Nigeria,2021,Both sexes,495.5,Age-standardized NCD mortality rate  (per 100 000 population),NGA,Moderate,
Trinidad and Tobago,2021,Both sexes,504.7,Age-standardized NCD mortality rate  (per 100 000 population),TTO,Moderate,
Bolivia (Plurinational State of),2021,Both sexes,505.3,Age-standardized NCD mortality rate  (per 100 000 population),BOL,Moderate,
Bosnia and Herzegovina,2021,Both sexes,510.3,Age-standardized NCD mortality rate  (per 100 000 population),BIH,Moderate,
Kenya,2021,Both sexes,507.8,Age-standardized NCD mortality rate  (per 100 000 population),KEN,Moderate,Africa
Bahamas,2021,Both sexes,510.2,Age-standardized NCD mortality rate  (per 100 000 population),BHS,Moderate,
Cabo Verde,2021,Both sexes,507.5,Age-standardized NCD mortality rate  (per 100 000 population),CPV,Moderate,
Algeria,2021,Both sexes,517.5,Age-standardized NCD mortality rate  (per 100 000 population),DZA,Moderate,
Gabon,2021,Both sexes,532.7,Age-standardized NCD mortality rate  (per 100 000 population),GAB,Moderate,
Mauritania,2021,Both sexes,527.2,Age-standardized NCD mortality rate  (per 100 000 population),MRT,Moderate,
Libya,2021,Both sexes,531.0,Age-standardized NCD mortality rate  (per 100 000 population),LBY,Moderate,
United Republic of Tanzania,2021,Both sexes,534.4,Age-standardized NCD mortality rate  (per 100 000 population),TZA,Moderate,
Nepal,2021,Both sexes,533.6,Age-standardized NCD mortality rate  (per 100 000 population),NPL,Moderate,
Kyrgyzstan,2021,Both sexes,527.2,Age-standardized NCD mortality rate  (per 100 000 population),KGZ,Moderate,
Oman,2021,Both sexes,532.1,Age-standardized NCD mortality rate  (per 100 000 population),OMN,Moderate,
Malaysia,2021,Both sexes,526.4,Age-standardized NCD mortality rate  (per 100 000 population),MYS,Moderate,
Lithuania,2021,Both sexes,534.5,Age-standardized NCD mortality rate  (per 100 000 population),LTU,Moderate,
Guyana,2021,Both sexes,544.6,Age-standardized NCD mortality rate  (per 100 000 population),GUY,Moderate,
Saint Vincent and the Grenadines,2021,Both sexes,537.9,Age-standardized NCD mortality rate  (per 100 000 population),VCT,Moderate,
Viet Nam,2021,Both sexes,546.1,Age-standardized NCD mortality rate  (per 100 000 population),VNM,Moderate,
Tajikistan,2021,Both sexes,550.5,Age-standardized NCD mortality rate  (per 100 000 population),TJK,Moderate,
India,2021,Both sexes,553.3,Age-standardized NCD mortality rate  (per 100 000 population),IND,Moderate,Asia
Hungary,2021,Both sexes,548.8,Age-standardized NCD mortality rate  (per 100 000 population),HUN,Moderate,
Namibia,2021,Both sexes,557.0,Age-standardized NCD mortality rate  (per 100 000 population),NAM,Moderate,
Sao Tome and Principe,2021,Both sexes,559.6,Age-standardized NCD mortality rate  (per 100 000 population),STP,Moderate,
Timor-Leste,2021,Both sexes,561.2,Age-standardized NCD mortality rate  (per 100 000 population),TLS,Moderate,
Honduras,2021,Both sexes,556.0,Age-standardized NCD mortality rate  (per 100 000 population),HND,Moderate,
"occupied Palestinian territory, including east Jerusalem",2021,Both sexes,557.9,Age-standardized NCD mortality rate  (per 100 000 population),PSE,Moderate,
South Africa,2021,Both sexes,560.4,Age-standardized NCD mortality rate  (per 100 000 population),ZAF,Moderate,
Uganda,2021,Both sexes,566.1,Age-standardized NCD mortality rate  (per 100 000 population),UGA,Moderate,Africa
Equatorial Guinea,2021,Both sexes,570.4,Age-standardized NCD mortality rate  (per 100 000 population),GNQ,Moderate,
Niger,2021,Both sexes,567.4,Age-standardized NCD mortality rate  (per 100 000 population),NER,Moderate,
Liberia,2021,Both sexes,565.9,Age-standardized NCD mortality rate  (per 100 000 population),LBR,Moderate,
Venezuela (Bolivarian Republic of),2021,Both sexes,569.3,Age-standardized NCD mortality rate  (per 100 000 population),VEN,Moderate,
Romania,2021,Both sexes,571.5,Age-standardized NCD mortality rate  (per 100 000 population),ROU,Moderate,
Mauritius,2021,Both sexes,566.7,Age-standardized NCD mortality rate  (per 100 000 population),MUS,Moderate,
Comoros,2021,Both sexes,582.7,Age-standardized NCD mortality rate  (per 100 000 population),COM,Moderate,
Sudan,2021,Both sexes,578.5,Age-standardized NCD mortality rate  (per 100 000 population),SDN,Moderate,
Democratic People's Republic of Korea,2021,Both sexes,584.1,Age-standardized NCD mortality rate  (per 100 000 population),PRK,Moderate,
North Macedonia,2021,Both sexes,579.2,Age-standardized NCD mortality rate  (per 100 000 population),MKD,Moderate,
Belarus,2021,Both sexes,580.7,Age-standardized NCD mortality rate  (per 100 000 population),BLR,Moderate,
Benin,2021,Both sexes,590.5,Age-standardized NCD mortality rate  (per 100 000 population),BEN,Moderate,
Indonesia,2021,Both sexes,592.0,Age-standardized NCD mortality rate  (per 100 000 population),IDN,Moderate,
Kazakhstan,2021,Both sexes,594.2,Age-standardized NCD mortality rate  (per 100 000 population),KAZ,Moderate,
Armenia,2021,Both sexes,593.3,Age-standardized NCD mortality rate  (per 100 000 population),ARM,Moderate,
Russian Federation,2021,Both sexes,585.2,Age-standardized NCD mortality rate  (per 100 000 population),RUS,Moderate,
Djibouti,2021,Both sexes,595.9,Age-standardized NCD mortality rate  (per 100 000 population),DJI,Moderate,
Senegal,2021,Both sexes,595.8,Age-standardized NCD mortality rate  (per 100 000 population),SEN,Moderate,
Chad,2021,Both sexes,601.6,Age-standardized NCD mortality rate  (per 100 000 population),TCD,Moderate,
Cote d'Ivoire,2021,Both sexes,600.2,Age-standardized NCD mortality rate  (per 100 000 population),CIV,Moderate,
Latvia,2021,Both sexes,595.8,Age-standardized NCD mortality rate  (per 100 000 population),LVA,Moderate,
Rwanda,2021,Both sexes,608.5,Age-standardized NCD mortality rate  (per 100 000 population),RWA,Moderate,Africa
South Sudan,2021,Both sexes,613.1,Age-standardized NCD mortality rate  (per 100 000 population),SSD,Moderate,
Gambia,2021,Both sexes,610.4,Age-standardized NCD mortality rate  (per 100 000 population),GMB,Moderate,
Ghana,2021,Both sexes,606.4,Age-standardized NCD mortality rate  (per 100 000 population),GHA,Moderate,
Morocco,2021,Both sexes,610.4,Age-standardized NCD mortality rate  (per 100 000 population),MAR,Moderate,
Serbia,2021,Both sexes,608.1,Age-standardized NCD mortality rate  (per 100 000 population),SRB,Moderate,
Mali,2021,Both sexes,618.3,Age-standardized NCD mortality rate  (per 100 000 population),MLI,Moderate,
Congo,2021,Both sexes,616.7,Age-standardized NCD mortality rate  (per 100 000 population),COG,Moderate,
Guinea,2021,Both sexes,617.6,Age-standardized NCD mortality rate  (per 100 000 population),GIN,Moderate,
Sierra Leone,2021,Both sexes,624.6,Age-standardized NCD mortality rate  (per 100 000 population),SLE,Moderate,
Ukraine,2021,Both sexes,629.1,Age-standardized NCD mortality rate  (per 100 000 population),UKR,Moderate,
Iraq,2021,Both sexes,628.4,Age-standardized NCD mortality rate  (per 100 000 population),IRQ,Moderate,
Georgia,2021,Both sexes,628.5,Age-standardized NCD mortality rate  (per 100 000 population),GEO,Moderate,
Burkina Faso,2021,Both sexes,638.6,Age-standardized NCD mortality rate  (per 100 000 population),BFA,Moderate,
Cameroon,2021,Both sexes,638.8,Age-standardized NCD mortality rate  (per 100 000 population),CMR,Moderate,
Myanmar,2021,Both sexes,639.7,Age-standardized NCD mortality rate  (per 100 000 population),MMR,Moderate,
Guinea-Bissau,2021,Both sexes,649.4,Age-standardized NCD mortality rate  (per 100 000 population),GNB,Moderate,
Zambia,2021,Both sexes,654.9,Age-standardized NCD mortality rate  (per 100 000 population),ZMB,Moderate,
Yemen,2021,Both sexes,662.5,Age-standardized NCD mortality rate  (per 100 000 population),YEM,Moderate,
Papua New Guinea,2021,Both sexes,660.9,Age-standardized NCD mortality rate  (per 100 000 population),PNG,Moderate,
Tonga,2021,Both sexes,660.8,Age-standardized NCD mortality rate  (per 100 000 population),TON,Moderate,
Pakistan,2021,Both sexes,658.8,Age-standardized NCD mortality rate  (per 100 000 population),PAK,Moderate,
Burundi,2021,Both sexes,670.2,Age-standardized NCD mortality rate  (per 100 000 population),BDI,Moderate,
Malawi,2021,Both sexes,667.2,Age-standardized NCD mortality rate  (per 100 000 population),MWI,Moderate,
Cambodia,2021,Both sexes,665.1,Age-standardized NCD mortality rate  (per 100 000 population),KHM,Moderate,
Bahrain,2021,Both sexes,668.2,Age-standardized NCD mortality rate  (per 100 000 population),BHR,Moderate,
Syrian Arab Republic,2021,Both sexes,669.0,Age-standardized NCD mortality rate  (per 100 000 population),SYR,Moderate,
Angola,2021,Both sexes,678.6,Age-standardized NCD mortality rate  (per 100 000 population),AGO,Moderate,
Madagascar,2021,Both sexes,682.2,Age-standardized NCD mortality rate  (per 100 000 population),MDG,Moderate,
Turkmenistan,2021,Both sexes,676.3,Age-standardized NCD mortality rate  (per 100 000 population),TKM,Moderate,
Bulgaria,2021,Both sexes,684.9,Age-standardized NCD mortality rate  (per 100 000 population),BGR,Moderate,
Togo,2021,Both sexes,686.5,Age-standardized NCD mortality rate  (per 100 000 population),TGO,Moderate,
Lao People's Democratic Republic,2021,Both sexes,687.1,Age-standardized NCD mortality rate  (per 100 000 population),LAO,Moderate,
Democratic Republic of the Congo,2021,Both sexes,696.0,Age-standardized NCD mortality rate  (per 100 000 population),COD,Moderate,
Mozambique,2021,Both sexes,708.2,Age-standardized NCD mortality rate  (per 100 000 population),MOZ,Moderate,
Mongolia,2021,Both sexes,711.5,Age-standardized NCD mortality rate  (per 100 000 population),MNG,Moderate,
Uzbekistan,2021,Both sexes,724.8,Age-standardized NCD mortality rate  (per 100 000 population),UZB,Moderate,
Republic of Moldova,2021,Both sexes,733.3,Age-standardized NCD mortality rate  (per 100 000 population),MDA,Moderate,
Somalia,2021,Both sexes,759.7,Age-standardized NCD mortality rate  (per 100 000 population),SOM,Moderate,
Jamaica,2021,Both sexes,766.2,Age-standardized NCD mortality rate  (per 100 000 population),JAM,Moderate,
Egypt,2021,Both sexes,766.8,Age-standardized NCD mortality rate  (per 100 000 population),EGY,Moderate,
Eritrea,2021,Both sexes,779.9,Age-standardized NCD mortality rate  (per 100 000 population),ERI,Moderate,
Samoa,2021,Both sexes,786.5,Age-standardized NCD mortality rate  (per 100 000 population),WSM,Moderate,
Central African Republic,2021,Both sexes,791.4,Age-standardized NCD mortality rate  (per 100 000 population),CAF,Moderate,
Eswatini,2021,Both sexes,810.6,Age-standardized NCD mortality rate  (per 100 000 population),SWZ,High,
Zimbabwe,2021,Both sexes,810.4,Age-standardized NCD mortality rate  (per 100 000 population),ZWE,High,
Haiti,2021,Both sexes,823.5,Age-standardized NCD mortality rate  (per 100 000 population),HTI,High,
Maldives,2021,Both sexes,824.3,Age-standardized NCD mortality rate  (per 100 000 population),MDV,High,
Afghanistan,2021,Both sexes,846.9,Age-standardized NCD mortality rate  (per 100 000 population),AFG,High,
Philippines,2021,Both sexes,868.4,Age-standardized NCD mortality rate  (per 100 000 population),PHL,High,
Fiji,2021,Both sexes,893.7,Age-standardized NCD mortality rate  (per 100 000 population),FJI,High,
Vanuatu,2021,Both sexes,913.9,Age-standardized NCD mortality rate  (per 100 000 population),VUT,High,
Lesotho,2021,Both sexes,934.7,Age-standardized NCD mortality rate  (per 100 000 population),LSO,High,
Solomon Islands,2021,Both sexes,978.5,Age-standardized NCD mortality rate  (per 100 000 population),SLB,High,
Micronesia (Federated States of),2021,Both sexes,982.4,Age-standardized NCD mortality rate  (per 100 000 population),FSM,High,
Lesotho,2020,Both sexes,1013.0,Age-standardized NCD mortality rate  (per 100 000 population),LSO,High,
Kiribati,2020,Both sexes,1066.0,Age-standardized NCD mortality rate  (per 100 000 population),KIR,High,
Singapore,2020,Both sexes,223.7,Age-standardized NCD mortality rate  (per 100 000 population),SGP,Low,
Republic of Korea,2020,Both sexes,226.2,Age-standardized NCD mortality rate  (per 100 000 population),KOR,Low,
Japan,2020,Both sexes,226.8,Age-standardized NCD mortality rate  (per 100 000 population),JPN,Low,
Switzerland,2020,Both sexes,259.8,Age-standardized NCD mortality rate  (per 100 000 population),CHE,Low,
Luxembourg,2020,Both sexes,258.3,Age-standardized NCD mortality rate  (per 100 000 population),LUX,Low,
Australia,2020,Both sexes,268.8,Age-standardized NCD mortality rate  (per 100 000 population),AUS,Low,Oceania
Israel,2020,Both sexes,273.8,Age-standardized NCD mortality rate  (per 100 000 population),ISR,Low,
France,2020,Both sexes,276.2,Age-standardized NCD mortality rate  (per 100 000 population),FRA,Low,
Spain,2020,Both sexes,280.6,Age-standardized NCD mortality rate  (per 100 000 population),ESP,Low,
Norway,2020,Both sexes,282.7,Age-standardized NCD mortality rate  (per 100 000 population),NOR,Low,
Sweden,2020,Both sexes,286.2,Age-standardized NCD mortality rate  (per 100 000 population),SWE,Low,
New Zealand,2020,Both sexes,292.3,Age-standardized NCD mortality rate  (per 100 000 population),NZL,Low,
Belgium,2020,Both sexes,288.0,Age-standardized NCD mortality rate  (per 100 000 population),BEL,Low,
Iceland,2020,Both sexes,294.6,Age-standardized NCD mortality rate  (per 100 000 population),ISL,Low,
Italy,2020,Both sexes,291.8,Age-standardized NCD mortality rate  (per 100 000 population),ITA,Low,
Malta,2020,Both sexes,295.4,Age-standardized NCD mortality rate  (per 100 000 population),MLT,Low,
Netherlands (Kingdom of the),2020,Both sexes,296.3,Age-standardized NCD mortality rate  (per 100 000 population),NLD,Low,
Cyprus,2020,Both sexes,313.9,Age-standardized NCD mortality rate  (per 100 000 population),CYP,Low,
Chile,2020,Both sexes,308.0,Age-standardized NCD mortality rate  (per 100 000 population),CHL,Low,
Costa Rica,2020,Both sexes,315.3,Age-standardized NCD mortality rate  (per 100 000 population),CRI,Low,
Kuwait,2020,Both sexes,317.0,Age-standardized NCD mortality rate  (per 100 000 population),KWT,Low,
Ireland,2020,Both sexes,317.2,Age-standardized NCD mortality rate  (per 100 000 population),IRL,Low,
Canada,2020,Both sexes,315.3,Age-standardized NCD mortality rate  (per 100 000 population),CAN,Low,North America
Puerto Rico,2020,Both sexes,315.4,Age-standardized NCD mortality rate  (per 100 000 population),PRI,Low,
Portugal,2020,Both sexes,323.6,Age-standardized NCD mortality rate  (per 100 000 population),PRT,Low,
Panama,2020,Both sexes,323.9,Age-standardized NCD mortality rate  (per 100 000 population),PAN,Low,
Sri Lanka,2020,Both sexes,334.7,Age-standardized NCD mortality rate  (per 100 000 population),LKA,Low,
Austria,2020,Both sexes,329.3,Age-standardized NCD mortality rate  (per 100 000 population),AUT,Low,
Slovenia,2020,Both sexes,329.9,Age-standardized NCD mortality rate  (per 100 000 population),SVN,Low,
Denmark,2020,Both sexes,332.8,Age-standardized NCD mortality rate  (per 100 000 population),DNK,Low,
United Arab Emirates,2020,Both sexes,335.1,Age-standardized NCD mortality rate  (per 100 000 population),ARE,Low,
Nicaragua,2020,Both sexes,342.9,Age-standardized NCD mortality rate  (per 100 000 population),NIC,Low,
Finland,2020,Both sexes,336.0,Age-standardized NCD mortality rate  (per 100 000 population),FIN,Low,
Greece,2020,Both sexes,343.2,Age-standardized NCD mortality rate  (per 100 000 population),GRC,Low,
United Kingdom of Great Britain and Northern Ireland,2020,Both sexes,341.9,Age-standardized NCD mortality rate  (per 100 000 population),GBR,Low,
Peru,2020,Both sexes,349.2,Age-standardized NCD mortality rate  (per 100 000 population),PER,Low,
Germany,2020,Both sexes,351.8,Age-standardized NCD mortality rate  (per 100 000 population),DEU,Low,Europe
Lebanon,2020,Both sexes,367.3,Age-standardized NCD mortality rate  (per 100 000 population),LBN,Low,
Thailand,2020,Both sexes,385.4,Age-standardized NCD mortality rate  (per 100 000 population),THA,Low,
Argentina,2020,Both sexes,385.5,Age-standardized NCD mortality rate  (per 100 000 population),ARG,Low,
Colombia,2020,Both sexes,385.7,Age-standardized NCD mortality rate  (per 100 000 population),COL,Low,
Seychelles,2020,Both sexes,400.1,Age-standardized NCD mortality rate  (per 100 000 population),SYC,Moderate,
Jordan,2020,Both sexes,395.5,Age-standardized NCD mortality rate  (per 100 000 population),JOR,Low,
Uruguay,2020,Both sexes,415.3,Age-standardized NCD mortality rate  (per 100 000 population),URY,Moderate,
United States of America,2020,Both sexes,424.6,Age-standardized NCD mortality rate  (per 100 000 population),USA,Moderate,
Paraguay,2020,Both sexes,432.7,Age-standardized NCD mortality rate  (per 100 000 population),PRY,Moderate,
Czechia,2020,Both sexes,431.0,Age-standardized NCD mortality rate  (per 100 000 population),CZE,Moderate,
Estonia,2020,Both sexes,429.1,Age-standardized NCD mortality rate  (per 100 000 population),EST,Moderate,
Malaysia,2020,Both sexes,435.4,Age-standardized NCD mortality rate  (per 100 000 population),MYS,Moderate,
Antigua and Barbuda,2020,Both sexes,437.9,Age-standardized NCD mortality rate  (per 100 000 population),ATG,Moderate,
Brazil,2020,Both sexes,443.5,Age-standardized NCD mortality rate  (per 100 000 population),BRA,Moderate,South America
Belize,2020,Both sexes,437.4,Age-standardized NCD mortality rate  (per 100 000 population),BLZ,Moderate,
Saudi Arabia,2020,Both sexes,452.9,Age-standardized NCD mortality rate  (per 100 000 population),SAU,Moderate,
El Salvador,2020,Both sexes,452.4,Age-standardized NCD mortality rate  (per 100 000 population),SLV,Moderate,
Ecuador,2020,Both sexes,445.1,Age-standardized NCD mortality rate  (per 100 000 population),ECU,Moderate,
Iran (Islamic Republic of),2020,Both sexes,449.2,Age-standardized NCD mortality rate  (per 100 000 population),IRN,Moderate,
Cuba,2020,Both sexes,446.0,Age-standardized NCD mortality rate  (per 100 000 population),CUB,Moderate,
Croatia,2020,Both sexes,451.1,Age-standardized NCD mortality rate  (per 100 000 population),HRV,Moderate,
Tunisia,2020,Both sexes,455.7,Age-standardized NCD mortality rate  (per 100 000 population),TUN,Moderate,
Dominican Republic,2020,Both sexes,464.5,Age-standardized NCD mortality rate  (per 100 000 population),DOM,Moderate,
Barbados,2020,Both sexes,459.3,Age-standardized NCD mortality rate  (per 100 000 population),BRB,Moderate,
Mexico,2020,Both sexes,458.4,Age-standardized NCD mortality rate  (per 100 000 population),MEX,Moderate,
Bhutan,2020,Both sexes,472.7,Age-standardized NCD mortality rate  (per 100 000 population),BTN,Moderate,
Qatar,2020,Both sexes,469.7,Age-standardized NCD mortality rate  (per 100 000 population),QAT,Moderate,
Slovakia,2020,Both sexes,470.3,Age-standardized NCD mortality rate  (per 100 000 population),SVK,Moderate,
Saint Lucia,2020,Both sexes,466.7,Age-standardized NCD mortality rate  (per 100 000 population),LCA,Moderate,
Poland,2020,Both sexes,471.2,Age-standardized NCD mortality rate  (per 100 000 population),POL,Moderate,
Türkiye,2020,Both sexes,493.5,Age-standardized NCD mortality rate  (per 100 000 population),TUR,Moderate,
Brunei Darussalam,2020,Both sexes,486.9,Age-standardized NCD mortality rate  (per 100 000 population),BRN,Moderate,
China,2020,Both sexes,490.8,Age-standardized NCD mortality rate  (per 100 000 population),CHN,Moderate,Asia
Bangladesh,2020,Both sexes,497.5,Age-standardized NCD mortality rate  (per 100 000 population),BGD,Moderate,
Nigeria,2020,Both sexes,498.7,Age-standardized NCD mortality rate  (per 100 000 population),NGA,Moderate,
Ethiopia,2020,Both sexes,497.0,Age-standardized NCD mortality rate  (per 100 000 population),ETH,Moderate,
Guatemala,2020,Both sexes,499.2,Age-standardized NCD mortality rate  (per 100 000 population),GTM,Moderate,
United Republic of Tanzania,2020,Both sexes,506.7,Age-standardized NCD mortality rate  (per 100 000 population),TZA,Moderate,
Cabo Verde,2020,Both sexes,512.5,Age-standardized NCD mortality rate  (per 100 000 population),CPV,Moderate,
Bosnia and Herzegovina,2020,Both sexes,521.7,Age-standardized NCD mortality rate  (per 100 000 population),BIH,Moderate,
